CellID,DNA1,ECAD,CD45,CD4,CD3D,CD8A,CD45R,KI67,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
2874,45636,955.98,1583.19,670.95,2249.14,3267.1,350.81,1898.55,2253.595238,1026.880952,42,7.986199951,6.848090778,0.514499759,0.954545455,0.583333333,0.621294932
2875,19607.71,599.13,694.67,873.93,635.84,350.04,363.96,1767.47,2494.466667,1026.422222,45,8.59206409,6.916620892,0.593273341,0.957446809,0.714285714,-0.094523259
2876,20474.76,1124.42,281.75,677.17,812.34,398.4,416.19,5331.62,1683.021368,1032.970085,234,23.34505536,13.14529319,0.826397739,0.921259843,0.573529412,-1.147707195
2877,10814.74,382.52,267.06,461.93,385.98,288.05,311.38,1728.67,1727.82716,1030.197531,81,15.08929338,7.023845894,0.885055554,0.870967742,0.525974026,0.566208991
2878,22729.93,520.1,366.43,646.28,776.15,335.5,363.78,1610.58,1943.75,1027.825,40,9.333358527,5.495308781,0.808292244,0.909090909,0.740740741,-0.005271286
2879,12102.77,478.51,298.98,597.89,550.14,292.2,567.06,2112.87,2200.852632,1031.778947,95,17.61023606,6.927653561,0.919372596,0.904761905,0.59375,-0.34395639
2880,16865.57,382.55,303.75,476.69,350.54,296.42,308.65,1738.81,2505.734513,1028.646018,113,16.11704642,9.318945278,0.815892031,0.856060606,0.604278075,1.401881993
2881,18517.09,506.49,277.18,475.42,355.75,301.76,322.38,1819.58,2539,1026.727273,55,11.51830476,6.263344298,0.839232277,0.901639344,0.654761905,1.345301298
2882,17188.3,595.41,276.89,497.74,394.59,297.37,308.78,1937.81,2547.518519,1025.962963,27,6.856203894,5.128193313,0.663739359,0.931034483,0.771428571,-1.441109549
2883,14757.86,408.22,486.91,473.38,378.07,294.32,259.18,660.38,719.2368421,1029.144737,76,14.46330693,6.797914719,0.882660507,0.904761905,0.584615385,-0.991632581
2884,32640.5,433.57,377.35,533.24,433.74,252.11,303.37,650.89,809.1481481,1029,54,9.251152634,7.541871371,0.579129082,0.915254237,0.666666667,1.151862549
2885,21231.09,1102.76,273.61,702.74,884.31,329.39,377.46,1363.34,1132.747126,1029.655172,87,10.97088137,10.18119213,0.372531555,0.935483871,0.790909091,1.555227797
